"date","year","month","day","weeknr","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","covid_cases_bs","pm25","temperature","precipitation","mode","total_per_mode"
2020-09-07,2020,9,7,37,-4.93203883495146,-1.58695652173913,108.208333333333,-1.02877697841727,-16.1543624161074,0.440944881889764,31,6.90452650387135,17,46.2,"total_oev",1775000
2020-09-07,2020,9,7,37,-4.93203883495146,-1.58695652173913,108.208333333333,-1.02877697841727,-16.1543624161074,0.440944881889764,31,6.90452650387135,17,46.2,"total_fuss",323693
2020-09-07,2020,9,7,37,-4.93203883495146,-1.58695652173913,108.208333333333,-1.02877697841727,-16.1543624161074,0.440944881889764,31,6.90452650387135,17,46.2,"total_velo",518673
2020-09-14,2020,9,14,38,-6.74496644295302,-1.57037037037037,84.561797752809,-1.8956043956044,-13.292817679558,0.46875,21,13.4579166666667,17,46.2,"total_fahrzeug",1811745
2020-09-14,2020,9,14,38,-6.74496644295302,-1.57037037037037,84.561797752809,-1.8956043956044,-13.292817679558,0.46875,21,13.4579166666667,17,46.2,"total_oev",1747000
2020-09-14,2020,9,14,38,-6.74496644295302,-1.57037037037037,84.561797752809,-1.8956043956044,-13.292817679558,0.46875,21,13.4579166666667,17,46.2,"total_fuss",302805
2020-09-14,2020,9,14,38,-6.74496644295302,-1.57037037037037,84.561797752809,-1.8956043956044,-13.292817679558,0.46875,21,13.4579166666667,17,46.2,"total_velo",531013
2020-09-21,2020,9,21,39,-11.1258278145695,-2.72058823529412,21.7272727272727,-11.1263736263736,-14.5604395604396,3.13571428571429,16,4.34938969931527,17,46.2,"total_fahrzeug",1837055
2020-09-21,2020,9,21,39,-11.1258278145695,-2.72058823529412,21.7272727272727,-11.1263736263736,-14.5604395604396,3.13571428571429,16,4.34938969931527,17,46.2,"total_oev",1797000
2020-09-21,2020,9,21,39,-11.1258278145695,-2.72058823529412,21.7272727272727,-11.1263736263736,-14.5604395604396,3.13571428571429,16,4.34938969931527,17,46.2,"total_fuss",276301
2020-09-21,2020,9,21,39,-11.1258278145695,-2.72058823529412,21.7272727272727,-11.1263736263736,-14.5604395604396,3.13571428571429,16,4.34938969931527,17,46.2,"total_velo",433760
2020-09-28,2020,9,28,40,-9.15894039735099,-1.30882352941176,26.6039603960396,-11.2857142857143,-16.0718232044199,3.18881118881119,37,5.09121500893389,17,46.2,"total_fahrzeug",1753335
2020-09-28,2020,9,28,40,-9.15894039735099,-1.30882352941176,26.6039603960396,-11.2857142857143,-16.0718232044199,3.18881118881119,37,5.09121500893389,17,46.2,"total_oev",1654000
2020-09-28,2020,9,28,40,-9.15894039735099,-1.30882352941176,26.6039603960396,-11.2857142857143,-16.0718232044199,3.18881118881119,37,5.09121500893389,17,46.2,"total_fuss",305680
2020-09-28,2020,9,28,40,-9.15894039735099,-1.30882352941176,26.6039603960396,-11.2857142857143,-16.0718232044199,3.18881118881119,37,5.09121500893389,17,46.2,"total_velo",340041
