"objid","zst_nr","zst_name","breitengr","laengengr","gemeinde","zst_klasse","kombiniert","art","anz_arme","anz_fahrst","zweck","typ","str_typ","eigentum","dat_inbetr","gueltig","link_ext","dbl_format"
"147",201305,"Bürenfluhstrasse 11",47.529788,7.599548,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-05-16 02:00:00+02:00","ausser Betrieb",,"pdf"
"149",201307,"Flachsländerstr. 6",47.568908,7.589385,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-06-27 02:00:00+02:00","ausser Betrieb",,"pdf"
"152",201310,"Im Rheinacker 20",47.563326,7.625948,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-05-23 02:00:00+02:00","ausser Betrieb",,"xlsx"
"155",201313,"Oberalpstrasse 48",47.549787,7.564122,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-06-04 02:00:00+02:00","ausser Betrieb",,"pdf"
"157",201315,"Rheinländerstrasse 12",47.563581,7.57802,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-04-11 02:00:00+02:00","ausser Betrieb",,"pdf"
"158",201316,"Seltisbergerstrasse 115",47.527668,7.596495,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-05-14 02:00:00+02:00","ausser Betrieb",,"pdf"
"160",201318,"Tüllingerstrasse 44",47.568012,7.617134,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-06-18 02:00:00+02:00","ausser Betrieb",,"pdf"
"168",201505,"Zoll Lörracherstrasse (Riehen)",47.595227,7.655558,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2015-04-24 02:00:00+02:00","ausser Betrieb",,"xlsx"
"169",201507,"Allschwil Grabenring",47.555159,7.537063,"Allschwil","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Andere","Kanton Basel-Land","2015-10-30 01:00:00+01:00","ausser Betrieb",,"xlsx"
"170",201510,"Hirzbrunnen-Promenade Fuss",47.562777,7.619292,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Fuss","Infrarot","Andere","Kanton Basel-Stadt","2015-07-07 02:00:00+02:00","ausser Betrieb",,"xlsx"
"171",201512,"Äussere Baselstrasse 277 (Riehen)",47.575358,7.634048,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2015-09-14 02:00:00+02:00","ausser Betrieb",,"xlsx"
"176",201517,"Kohlistieg  (Riehen)",47.568515,7.638987,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-09-14 02:00:00+02:00","ausser Betrieb",,"xlsx"
"177",201518,"Grenzacherweg 187  (Riehen)",47.571494,7.645655,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-09-14 02:00:00+02:00","ausser Betrieb",,"xlsx"
"179",201520,"Schützengasse 53  (Riehen)",47.586193,7.65512,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-09-14 02:00:00+02:00","ausser Betrieb",,"xlsx"
