FK_ZAEHLER,FK_STANDORT,year,month,day,hour,total_fuss,total_velo,datum
ECO09113499,3927,2021,1,14,3,0,0,2021-01-14T03:00:00Z
ECO09113499,3927,2021,1,14,4,0,0,2021-01-14T04:00:00Z
ECO09113499,3927,2021,1,14,5,0,5,2021-01-14T05:00:00Z
ECO09113499,3927,2021,1,14,6,0,15,2021-01-14T06:00:00Z
ECO09113499,3927,2021,1,14,7,0,28,2021-01-14T07:00:00Z
ECO09113499,3927,2021,1,14,8,0,21,2021-01-14T08:00:00Z
ECO09113499,3927,2021,1,14,9,0,11,2021-01-14T09:00:00Z
ECO09113499,3927,2021,1,14,10,0,4,2021-01-14T10:00:00Z
ECO09113499,3927,2021,1,14,11,0,1,2021-01-14T11:00:00Z
ECO09113499,3927,2021,1,14,12,0,3,2021-01-14T12:00:00Z
ECO09113499,3927,2021,1,14,13,0,3,2021-01-14T13:00:00Z
ECO09113499,3927,2021,1,14,14,0,2,2021-01-14T14:00:00Z
ECO09113499,3927,2021,1,14,15,0,1,2021-01-14T15:00:00Z
ECO09113499,3927,2021,1,14,16,0,1,2021-01-14T16:00:00Z
ECO09113499,3927,2021,1,14,17,0,7,2021-01-14T17:00:00Z
ECO09113499,3927,2021,1,14,18,0,4,2021-01-14T18:00:00Z
ECO09113499,3927,2021,1,14,19,0,2,2021-01-14T19:00:00Z
ECO09113499,3927,2021,1,14,20,0,0,2021-01-14T20:00:00Z
ECO09113499,3927,2021,1,14,21,0,0,2021-01-14T21:00:00Z
ECO09113499,3927,2021,1,14,22,0,0,2021-01-14T22:00:00Z
ECO09113499,3927,2021,1,14,23,0,0,2021-01-14T23:00:00Z
ECO09113499,3927,2021,1,15,0,0,0,2021-01-15T00:00:00Z
ECO09113499,3927,2021,1,15,1,0,0,2021-01-15T01:00:00Z
ECO09113499,3927,2021,1,15,2,0,0,2021-01-15T02:00:00Z
ECO09113499,3927,2021,1,15,3,0,0,2021-01-15T03:00:00Z
ECO09113499,3927,2021,1,15,4,0,1,2021-01-15T04:00:00Z
ECO09113499,3927,2021,1,15,5,0,4,2021-01-15T05:00:00Z
ECO09113499,3927,2021,1,15,6,0,5,2021-01-15T06:00:00Z
ECO09113499,3927,2021,1,15,7,0,7,2021-01-15T07:00:00Z
ECO09113499,3927,2021,1,15,8,0,3,2021-01-15T08:00:00Z
ECO09113499,3927,2021,1,15,9,0,3,2021-01-15T09:00:00Z
ECO09113499,3927,2021,1,15,10,0,1,2021-01-15T10:00:00Z
ECO09113499,3927,2021,1,15,11,0,0,2021-01-15T11:00:00Z
ECO09113499,3927,2021,1,15,12,0,2,2021-01-15T12:00:00Z
ECO09113499,3927,2021,1,15,13,0,0,2021-01-15T13:00:00Z
ECO09113499,3927,2021,1,15,14,0,0,2021-01-15T14:00:00Z
ECO09113499,3927,2021,1,15,15,0,0,2021-01-15T15:00:00Z
ECO09113499,3927,2021,1,15,16,0,3,2021-01-15T16:00:00Z
ECO09113499,3927,2021,1,15,17,0,3,2021-01-15T17:00:00Z
ECO09113499,3927,2021,1,15,18,0,1,2021-01-15T18:00:00Z
ECO09113499,3927,2021,1,15,19,0,1,2021-01-15T19:00:00Z
ECO09113499,3927,2021,1,15,20,0,0,2021-01-15T20:00:00Z
ECO09113499,3927,2021,1,15,21,0,0,2021-01-15T21:00:00Z
ECO09113499,3927,2021,1,15,22,0,0,2021-01-15T22:00:00Z
ECO09113499,3927,2021,1,15,23,0,0,2021-01-15T23:00:00Z
ECO09113499,3927,2021,1,16,0,0,0,2021-01-16T00:00:00Z
ECO09113499,3927,2021,1,16,1,0,0,2021-01-16T01:00:00Z
ECO09113499,3927,2021,1,16,2,0,0,2021-01-16T02:00:00Z
